content,score
Ada tukang gojek alasan gak punya kembalian uang kontan,3
Saya ditagihkan biaya tol/parkir padahal tidak sama sekali melewati tol dan area parkir.,2
"Saya heran kok saya buat akun baru dari nomor yang baru, tetapi sudah ada data orang lain di akun itu, kenapa ya bahkan ada isi gopaynya.",3
"Banyak cincong.yg turun level lah,yg itulah.hargain lah org yg sudah order,setidaknya bisa bantu aplikasi dan drivernya buat mnyambung hidup.",1
Makin lama ongkir makin mahal coeg,2
Biaya aplikasi sebenerny buat apa?,1
"Udah Biaya Layanan paling MAHAL, Pesen Gofood masa harus Nunggu 30 menit baru Dapet DRIVER, aneh... Pantesan aja pada pindah ke Sebelah Karena Lebih Murah & Cepat",1
cukup membantu dalam mengantar penumpang dgn baik,3
Diadakan masuk lewat email knp ga ada sih heran gua pke gojek ini ribet banget sumpah . Akun gua setelah logout malah susah masuk lgi d masukin nomorny tidak terdaftar trus gmna malah msih ada uangnya lgi di dlm !!!!!!!! Fitur masuk lewat google jg ga ada dri nomor di coba trus malah tunggu 30 menit !!!!!!!!! Bukanny tambahkan masuk lewat akun google email biar lebih gampang malah susah skrng jdinya taii,1
"buat apa limit 500 ribu kalau tidak bisa di gunakan, tolong lah benerin lagi gopaylater nya",1
Saldo GO-PAY sy sudah sy transfer ke. Rekening sy tapi sampai skrng blm masuk!!!!!! Mohon di tindak lanjuti,1
"iklan doang sama promo di gedein tapi driver dikit bgt huhu, nunggu driver doang 1 jam gmn ceritanya coba, ongkir mahal banget",1
Bagus sih cuman jeleknya loading terusss padahalnya jaringannya bagus buka aplikasi lain kencang aja gak jadi pesan deh bikin kesel🤬,2
Kecewa banget ngisi saldo gak masuk,1
"Saya sering top up lewat nomer telpon, tapi akhir akhir ini fitur nya tidak bisa digunakan dan selalu meminta update. Walaupun sudah di update tetap saja fiturnya tidak bisa digunakan. Kecewa berat",2
Tambahakan fitur tutup akun,1
"Belakangan susah dapat driver di atas jam 18.00 untuk goride, kalau gofood cepat dapatnya. Tolong dibenahi, area bandar lampung",3
Makin kesini gojek makin sistem yg sulit di pahami pesan go food pst dptnya driver yg jauh dr resto ud mulai pembodohan aj,1
aplikasinya jadi suka eror sangat menggangu jika keadaan mendesak,1
Meresahkan iklan gojek di hp saya,1
"saldo gopay kepotong sendiri, aneh",1
Stop ada iklan Gojek ini ganggu,1
Pengguna baru sekarang gadapet promo:( sayang banget padahal promo nya sangat dibutuhkan:',3
Gg ad voucher goofodny. Pelit,1
Akun saya di bekukan. Batere hp saya 2 % dan saya buru buru pesen. Udah dapet. Dan tidak lama hp saya mati. Dan belum sempat ketemu driver. Akhirny saya naik ojek biasa. Mohon bantuanny,3
"tiba-tiba paylater diblokir, pdhl gak pernah neko-neko",1
Makin di update semakin lemot loading nya,1
"Tdk bisa masuk. Padahal sudah semua, dan kirim kode verifikasi lama banget, nge-habisin kuota sama memori tau!",1
Benerin dong apk nya dari bug. jangan cuma naikin harga jasa aplikasi,1
Coba tebak berapa menit untuk saya menemukan driver.........? Jawaban nya tidak ketemu ketemu ini aplikasi kyk kuburan padahal tinggal di kota ini palembang kota kok drivernya gak ada gawat2,1
Kenapa muncul update ya ? padahal saya sudah update versi terbaru,1
Kalo malam di jepara susah pesen,1
I want gratis ongkir for go food.,3
"Maaf sy kasih * 1. Tgl 21 lalu sy posting review utk resto D*****, tetapi saat klik posting, scr otomatis tercopy paste utk resto N*****. Sy langsung mhubungi CS, djwb oleh J*****, ada kmungkinan aplikasiny eror, sy dsarankan mmbuat tiket keluhan. Sy ikuti saranny tp tdk ada tanggapan. Sy hubungi kmbli CS, drespons oleh CS lain. Intinya postingan tdk bs dhapus & sy dsarankan mmastikan sblm posting. Sy jwb: ini bkan ksalahan sy. CS ngaku telp, tp di hp tdk ada notif. Sdh tgl 27 kok tdk drespons?",1
"tiba2 semua voucher hilang. kena softbanned, lebay bgt sih. pdhal gak melakukan tindakan kriminal!!!",1
Gangguan parah signal nya setiap buka app ini. Trus tiba2 gak bisa nerima n kirim gopay dari teman. Aneh!,2
"Oke,saya suka",3
Tiap pesen GO-RIDE selalu dikasih driver yang jauh. Gila aja masa jarak jemput lebih jauh dari tujuan,1
Lemot lelet,1
LAMA SEKALI MENCARI DRIVER NYA .. APK SEBELAH GERCEP+ MURMER,1
jelek apk nya mau pesan malah lanjut ko ga bisa,3
"mau pembayaran alfagift gak bisa bisa berkali""",1
"Aplikasi dongooooo, kenapa gerimis dikit ajaaa susah nyari driver",1
Potongan siluman buat driver tolong di hapus . Ongkir 12.000 keterima driver cuma 8.000 kasian drivernya jek,1
"kemarin2 dari sekolah ke rumah sekitar 24-25k tp dari akhir sept naik jauh bgt jadi 36k padahal ga hujan, jalannya juga normal2 aja kaya biasa. naiknya ketinggian, ga kira2",2
SETIAP GANTI AKUN GAGAL TERUS GILIRAN NYOBA BERKALI KALI DI SURUH ISTIRAHAT APAA SI MAU NYA KEADAN LAGI GENTING,1
Minin promo go food kalah sama shope food,1
"Service bagus tapi sayang, tadi sy pesan dapet driver 4x tapi di censel terus",3
Dah malas pakek gojek. Biyaya semakin mahal. Apalagi goofood jasa aplikasi nya sekarang 4000. Mahal. Udh ongkir mahal gak sesuai sama makanan nya,1
"Min, kalo mau up ke gojek plus ga usah pake ktp dong pliss, soalnya mau usaha ga bisa😞☺️ Mau nge jb susah kalo gojek (gopay) ga premium 😞",3
"Sebenarnya aplikasi ini bagus, tetapi bikin trauma karena tiba-tiba double order. Mohon diperbaiki lagi manajemannya.",3
Termahal,1
"Ini mau buat laporan kurang kenapa ngk bisa pilih galeri, foto ada di galeri dah beberapa kali dengan berbeda pedagang",3
Gapernah dapet voucher + promo,1
"buat promonya belum dipakai kok gabisa ya? perlu diperbaiki kak, dan ditambah promonya donggg hehe<3",3
"mau upgrade ke gopay plus gagal terus!!!, padahal sudah sesuai KTPnya !",1
"Makin hari makin jelek, udah 2 hari buka gojek enggak bisa ke load menunya",1
sudah upgrade ke go pay plus tidak bisa,2
"Nyari bandara sipinggan digojek, tulisan alamat tidak ditemukan 😤",1
Fitur goto pin nyusahin. Padahal saya ga pernah bikin pin-nya tapi gabisa masuk ke akun lagi gara-gara diminta pin itu.,1
"setelah dipikir-pikir ada yang kurang dari aplikasi gojek, terutama di gofood nya, tidak ada keterangan apakah resto tersebut menjual makanan halal atau non halal, krn sekarang banyak nama menu yg variatif, konsumen juga ga mungkin kan tanya terus pas beli halal atau tidak sedangkan udah di pencet order . saran saya gojek kan udah ambil keuntungan baik dari fee pemesanan dan selisih harga gofood. seenggaknya ada usaha untuk memberi register non halal/halal di tiap resto. terimakasih",2
Lama ngirim kode OTP nya dari pagi di coba terus tetap gk ada,2
Kemahalan jek,1
Mntap,2
pas ga beli voc gratis ongkir diskon banyak bahkan sampek 70% pas beli voc gratis ongkir gaada diskon gofood sama sekali,1
Buat yg mw download jangan termakan omongan karya anak bangsa ntar nyesel saldo gopay hangus aplikasinya bagus banget dikit2 gak bisa mw ini dikit gak bisa abis log out mw login pke akun yg lain gak bisa tulisanya kami menerima terlalu banyak permintaan udh d tungu seharian masih gak bisa trus harus gmana nunggu 1 thun lgi,1
Ada apa dengan aplikasi kalian. Kenapa kok eror terus?,2
Iaya aplikasi buat apaan dah?,3
"Gak guna, tf ke tekening bank harus le verifikasi ktp",1
Tolong voucer diskon gojeknya dikasi pelanggan tapi jangan menggunakan gopay,1
"Dulu akun gojek saya bisa pakai promo ampe double2, sekarang promo nya disuruh milih mau yg mana. Hanya bisa 1 promo meskipun promo nya banyak 😭",3
Saya top up go pay ngga masuk saldo sudah ke potong kata cs sudah masuk tapi saldo masih 0,1
"Knp setelah diperbarui malah susah masuk, jadi sering eror!",1
"Akun gojek di blokir gak jelas, padahal masih ada saldonya, trus di hubungi cs nya , katanya gak bisa di jelaskan kenapa di blokir, saya sebagai customer bingung. Nih klo gitu cara kerjanya. Kasihan dong saldo kita yang rugi gitu aja. Bahkan untuk alasan di blokir aja. Kt GK di berikan kejelasan. Bagaimana kita bisa membuktikan kalo gitu kerjanya. Saran buat yang m make aplikasi ini. Mending ke lain aja. Ntar rugi kalo di pake sebagai e walet andalan. Maaf harus jjur. Trima kasih",1
SEKARANG GOJEK ERROR TERUS SAYA MAU PAKE GOPAYLATER SAYA TIDAK BISA PADAHAL LIMIT MASIH FULL BELUM DI PAKAI MAU DI PAKE BELANJA GOFOOD PAS MAU BAYAR TIDAK KELUAR PEMBAYARAN GOPAYLATER PARRRRRAAAAHHH,1
"GO-PAY saya terblokir dan saya mau mengaktifkan di telfon selalu sibuk saya berkali"" Mau transaksi tidak bisa mohon solusinya dari pihak gojek",1
Semakin ribet,1
"Lemot banget, loading terus, mau pesen makanan juga loading ke loading ke loading terus. Ditungguin berjam-jam malah gagal, force close, ga jelas. Udah sampe uninstall , terus di install ulang, proses masuk juga loading lagi. Tolong diperbaiki, saya pengguna lama malah ketemu kendala ga jelas kaya gini terus. PERBAIKI!",1
"Pada opsi GoFood, perlunya dua opsi ""Quickdraw dan Safe Order"" karena ada kejadian dimana bukan kita yang melakukan order (smartphone sedang dipinjam) atau orang yang tidak sengaja menekan tombol order (karena tombol terlalu besar dan berada di bawah dimana tombol home dan menu lain juga disana), misal toko tidak bisa mengkonfirmasi pesanan maksimal 5 menit dengan begitu kita bisa memiliki opsi untuk membatalkan pesanan tanpa perlu merugikan pihak lain.",1
"Mulai saat ini saya tidak mau pakai layanan mobil car karena saya mudik ke pelabuhan bawa barang penumpang nya 4 orang barang 7,muka cemberut saya tambahin loh 20k,trus baliknya dari pelabuhan ke rumah dengan sama kapasitas nya,saya di omelin di dalam mobil bilang bagasi nya gk muat.saya punya mobil ayla muat aja.bilang aja banyak ngeluh.kurang ramah,keterangan nya cuma 4 orang.7 barang kecil.pantas aja makin sepi kurang ramah.jika tidak mau cancel saja lah.",1
Sering lag 😅,1
"Aplikasi taik, mau pesan gofood dari kemaren gabisa, trus sekarang mau pesan goride gabisa juga. Adamasalah coba lagi nanti ya, kata kata p*p*k",1
Nich kenapa terhenti terus . Pdahal semua saran udah dilakuin tetep saja sama aja . Trus saldo ini gimana klo terhenti terus .,1
Di apdate susah bgt(lemot),1
Maaf saya cerita atas pengalaman saya Saya udah isi gopay tapi mas y malah milih tunai jd untuk apa saya ngisi gopay 😭😭😭😭😭 Dan masih bayak lagi pengalan buruk di gojek Apa lagi tentang ke jujuran 🥺🥺🥺🥺🥺,1
Te baleg,1
Kenapa makin lama makin drop nih si gojek 🥴 sungguh mengecewakan 😭,1
Bikin aplikasi gmna sih.. gak bisa loggin pakek email apa..????,1
"Driver nya molorr,,gua nunggu 2 jam ga ada yg nganter pesanan,,,mending pake grab sekarang mh kapok pake gojek,,gua kelaparan gara2 gojek,,alasan nya driver sibuk,padahal kalo pake promo pada malas yg nganter nya",1
Kenapa skarang aplikasiya lama bukanya,1
"Ganti email doang, pas balik ke email utama saldo hilang. History hilang (tersisa pesanan 16 September kebelakang)jadi tidak ada bukti bahwa saldo hilang",1
"Aplikasi da bagus tp sayang kebanyakan iming2 hadiah ga jelas, dan sering bnget nawarin aplikasi lain yg gak guna dan ga ada manfaatnya",1
"Makin mahal, makin g jelas gojek, kasian babang drivernya, pindah aplikasi sebelah",1
Ga jelas mending maxim aj,1
Ini gimana si gopay buat topup pake mbanking BCA gak bisa maaf layanan sekarang tidak bisa diproses,1
"Gojek kenapa sih, gopay later nya sekarang ga bisa di gunakan padahal limit ada, terus limit jadi turun.,padahal udah bayar tagihan ga telat... Hadeuh... Payah aaahhh...",1
"Aplikasi Makin Gak Jelas Sekarang Gojek!!! Ngasih limit Gopaylater tp gak bs dipake, Ditanya ini itu jawab nya juga ribet hrs ini itu dan diikutin prosesnya ending nya alesannya pun gak jelas. Padahal tiap bln dibayar tagihannya. Kmrn telat 1 hari bayar tagihan dendanya langsung 50ribu. GILAK!!!",1
Bukanya tambah lancar malah seled rezekinya apk new,1
"Hati hati jangan pernah transaksi di gojek, harus selalu waspada.",1
"sangat membantu dalam beraktivitas, apalagi untuk yang tidak bisa mengendarai motor sendiri seperti saya. pokoknya de best lah. I ❤ produk Indonesia Edit : tolong lah kenapa sekarang nggak bisa apply 2 voucher? Padahal voucher juga nggak tiap hari dapet, sekali dapet nggak bisa dipakai :(",2
"Halo Kak! Awalnya saya mau kasih bintang 5, tapi ga jadi. Aplikasinya ngga berfungsi dengan baik. Loading mulu, ditungguin lama juga kaga beres-beres. Bukan cuma go-food, tapi semuanya ngga berfungsi.",1
Jangan gunakan Go-Jek Beberapa kali Transaksi gagal tapi saldo terpotong dan tidak dikembalikan,1
"Aplikasi ga jelas. Dulu klo mau make GoFood mah murah enak diskonnya dukung. Sekarang mah beda ongkir nya gede pake biaya aplikasi lagi, promo ada cuma nurunin harga 2%. Gni lah klo udh di atas, smua di naikin harga nya.",1
Knp akun saya tidak bs login ya?,2
Kenapa gojek sekarang lelet banget ya. Driver gak gerak2. Kolom chat ngak bisa. Apa drivernya pada nolak rezeky. Order 1 jam gk bisa2. Padahal area Jakarta loh.,3
Sering bertransaksi namun tidak di beri kesempatan untuk memakai gopay letter,1
Mau kirim paket instan hampir 2 jam gak ada driver yg ambil padahal lokasi lingkungan sekitar driver bnyak ....,2
"Saya mengalami penipuan dan melaporkan kepada pihak costumer service gojek. ALhasil ? Tiba tiba lewat Instagram 4-8 akun fake costumer service nge DM saya mengatakan ada yang ingin dibantu? Dan ujung ujungnya malah ngasih link Buat ngeretas hp saya/dana/gojek saya. Dan saya sadari itu penipu semua... Lalu tiba tiba info dari hasil pelaporan saya tidak dilanjutin/ditolak karena tidak sesuai persyaratan. jelas² itu saya kasih berapa jumlah uang ditipu, nomor gopay penipu dan nomor BCAnya jg bukti²",1
"Untuk upgrade susah banget, wajah gak terdeteksi terus cacat",1
Saya kasih bintang 1 karena seorang driver bernama touni muhazim dongdo saragih tolong driver ini di blacklist setelah sekian lama langganan gofood baru ini dapat driver penipu pesanan saya tidak lengkap,1
"Tolong di edukasi drivernya, klo customer ga minta ngebut jgn ngebut, kecepatan standar aja, klo customer minta ngebut baru ngebut,",1
Update dlm sbln berapa kali sih...boros kuota nh,1
Parah banget Masa gopay coin gak bisa dipake buat scan qris,2
"Update terus,makan quota data konsumen .aplikasi taik",1
Paraaaah,2
Udah lama pake akun ini tbtb akun d bekuin tanpa sebab pdhl selama ini pakai bener,1
"Aplikasi lemot kayak babi, mau pesen aja lemot",1
Driver gojek banyak yg tidak sopan klo gak percaya silahkan di coba,1
Solusi diberikan tapi lama keputusannya..,3
"Ribet ribet...gua daftar,lu mau kirim dan minta OTP berkali kali gak ada muncul sms...ribet lu",1
Astaghfirullah sudah d update lemot nya minta ampun padahal saya lagi psen gosen jdi gak tau masih di mana Driver nya,1
"Satu bintang aja,,,lemot",1
"semenjak voucher gabisa dicombo lagi saya memutuskan untuk gajadi user gojek lagi, byebye mau ber alih ke grab~ whoops",1
Parah sering error bikin jengkel!!! Saya pindah ke maxim!!!! 🤬🤬🤬🤬,1
"Aplikasi msh blm bgs... catatan di order sll muncul berulang"".. buat pesanan diluar order",3
"Aplikasi gojek tolol, gua lagi zoomin peta malah balik zoom out. Gitu aja terus. Bikin darah orang naik aja. udah gitu notif promo gak guna aja dibanyakin tiap hari.",1
BURUUUKKK!!,1
Ga pernah di kasih voucher gofood lagi..jd jarang pake.. Bahkan ga kepakai,1
saat akan menambahkan metode pambayaran dialihkan ke play store terus padahal sudah instal gojek,1
"Saldonya ilang, jemputan gx datang di pesananya udh selesai,, hadeh parah bisa di perbaiki ngga",1
"Ga bisa verifikasi akun dan ga ada solusi dari csnya, trus gimana mau bisa pake aplikasinya? Padahal lagi butuh utk pengiriman di marketplace tapi akun aja blm bisa aktif",1
Lokasi penjemputannya suka elor suka meleset padahal gps udah di aktifkan Mohon di perbaiki lagi,3
Mau donk gabung jadi driver gojek. Gmn ya cara nya???,5
"Akun saya tiba-tiba berganti nama, dan tidaj bisa dikembalikan seperti semula. Walau sudah di hapus dan instal baru. Makin lama akun ini makin ribet dan nggak sesuai dengan kebutuhan masyarakat. Tunggu tanggal kehancurannya saja. Sebab pesaingnya sudah banyak!",1
Bentar bentar update... bentar bentar update.... Loginnya aja susah,2
"Tolong Dihapus dunk akun saya.... Percuma ada gopaylater tetapi ngga bisa di gunakan.. Mau hapus sendiri, ngga bisa.. Tolong di bantu hapus yaa... Percuma soalnya ngga berguna...",1
kocak paylater di blokir pdahal byar tepat waktu ..,1
"Aplikasi punya saya kalo pesan makanan tidak bisa pakai voucher promo, orang lain pada bisa dan ada kolom voucher promo, punya saya tidak ada. Tolong lebih ditingkatkan lagi kualitas aplikasinya",3
"Kepada yth, pihak gojek. Kenapa akun gojek saya di blokir saya sudah laporkan dan dari pihak gojek meminta data diri saya, semua persyaratan sudah di penuhi tapi sudah sebulan saya menunggu tetap tidak di buka/di selesaikan. Tolong lah kepada admin gojek untuk masalah ini agar segera cepat di atasi kami sebagai pengguna merasa kurang nyaman. Makasih🙏",1
lambat respon,1
Gojek tolong sistem bot penagih hutang gopay nya di perbaiki. Aku gk ada pake paylater di tagih terus. Lama lama ku hapus aplikasi ini yakin lah,1
susah.....,1
Taiiii....man kau mau eugi...harga gofood kau angkat...,1
"Saya pengguna layanan gojek sudah lama dan akhir akhir ini saya sering bepergian keluar kota setiap pesan gocar dari bandara CGK ke kantor saya di tangerang kawasan industri selalu saya ganti rute karena di aplikasi selalu memilih jalan dengan jarak terdekat tapi tidak memperhitungkan tingkat kemacetannya,jelas secara waktu lebih cepat ketika lewat tol tapi ada konsekwensi lain ketika ganti rute maka biaya bertambah secara jarak dan jelas e tol juga tolong dibenahi pilihan rute dan biaya",2
Pesanan go food saya selalu di cancel oleh driver jadi saya kurang puas atas pelayanan nya,3
Kenapa SMS link nya ga ada terus padahal no udah bener,1
"Halo admin, team gojek... Tolong segala untuk memperbaiki email ataupun no tlp dipermudah. Email sudah terdaftar, seharusnya kita bisa ganti no tlp dong melalui email yang dikirimkan ke email yang sudah terdaftar, untuk bisa ganti no tlp baru baik hilang atau apapun. Ini mau untuk login saja susah, segalanya harus baru baik no telepon ataupun email. Sangat disayangkan",1
"Sangatt mengecewakan GOPYPINJAM gojek Pnjam 7,3jt cair 6,9jt bayar 9,3jt Bunga 700rb an Biaya lainnya 1jt200rb TELAT SEHARI DITEROR SAMPAI BAWA ANAK CUCU SIPENAGIH HUTANGNYA.. SETELAH BAYAR LUNAS 9JUTAAN KITA GAK DIKASIH PINJAM LAGI ALIAS PINJAMAN KITA DITOLAK GEGARA TELAT BAYAR SEHARI.. TOLONG HAPUS DATA SAYA,KARNA SAYA SUDAH MELUNASI UTANG SAYA...JIKA TIDAK DIHAUS,KALO ADA YG MEMINJAM ATAS NAMA SAYA ITU BUKAN SAYA..KALIAN TANGGUNG SENDIRI😡😡🤬🤬🤬",1
Gopay apa2 kena admin contoh dong dana free 10x gratis transaksi or tf ke semua bank / bln selebihnya baru kena admin..,2
Aplikasi setan kalo hujan gak ada pengemudi,1
Susah dapat driver,4
Verifikasi pake link dari SMS makin ribet,3
baik,3
"Kenapa sih driver gofood pada gak ada lagi? Saya sudah coba hampir di 20 resto dan di daerah berbeda itu tidak ada yg ready. Kalau memang tidak memungkinkan lagi hapus saja fitur yg namanya ""GOFOOD"".",1
"Maaf nih, order Go-Food restoran udah nyiapin & driver udah dapet, udah nunggu lama ujug2 status batal krna driver sibukh. Gopay aman cmn rugi waktu.",2
"Masa udah sering banget pake gojek tiba2 kena ke blokir kenapa coba begitu , mana masi ada gopaycointnya",1
buruk,1
bikin gojek & gofood di semua daerah dong👎,1
"penipu,, hati2!!",1
MOHON KEPADA ADMIN GOJEK BANTU GOJEK MAMA PAPA SAYA KEBLOKIR MOHON DIBANTU NYA ADMIN GOJEK KARNA SAYA UDAH KENA MARAH😭 NAMA AKUN GOJEK NYA DALIA DAN SAWATI MOHON BANTUAN NYA TERIMA KASIH.,1
Mau upgrade ga bisa mulu padahal nomer yg dlu ke daftar hp nya ilang giliran mau masukin nomer baru KTP sudah terverifikasi. Tlpn cs katanya ga bisa di upgrade. Kan jadi ga bisa transfer gopay ke temen... Udah lah hapus aja app gojek nya. Udah ga bisa bermanfaat lg. Pindah aja ke sebelah .. yg lebih bermanfaat,1
"Fungsi aplikasinya sudah bagus,tapi sering muncul bug,contoh terhenti dan keluar sendiri.terus kalo dapet driver suka kejauhan jaraknya,dan driver suka ngilang sendiri,dan ganti driver baru,alhasil butuh waktu lebih.itu saja.terimakasih🙏🏻🙏🏻🙏🏻",3
"Udah mahal , lemot lagi😌",1
App tolol,1
Apaan giliran udah berlangganan diskon ongkir tp ga dikasih promo diskon gofoodnya 😂,3
gopay gue ke blokir Mulu pdhl gk pernah tuh transaksi ilegal tuh.,1
"Promo gabisa dipakai, bug",1
Ga Se bagus di pegang nadeim,1
Gojek sekarng tdk seprti yg dlu..mask harga gofood tdk sesuai hrga yg d sepakti d awal pembelian..akun gojek delete aje..system yg ngaco..,1
Vocher gofoodnya jd gak bisa doubel,3
"MULAI GA JELAS NI APP,GOFOOD NUNGGU LAMA TAPI BARU MUNCUL NOTIF SETELAH 30 MENIT LEBIH. KONYOL",1
"Ini kenapa ga bisa di batalin ya?, Mana uang nya ga balik""",1
"Top up 1 bulan lebih saldonya belum masuk2. Komplain berkali2 ada tanggapan, tapi tidak ada penyelesaian. Detail transaksi ada, php doang. Rugi konsumen.",1
Ok,5
"Knapa ya gojek kok makin kesini malah makin ke sana, vouchernya jga gk bisa pke dua, harus milih salah satu cba.",2
Hello gojek. Tidak usah ada menu gojek hemat kalau driver mu tidak mau jemput. Dengn alasan ban bocor . Ketiduran lah. Paham kan.,1
Bilang ny promo pake jenius tp pas di tambahkan metode pembayaranny pake kartu jenius gk bisa mulu,1
"Daah pesen nunggu lama"" dibatalin sialan rugi waktu bodoh",1
"Gopay gk bertanggung jawab tiba"" akun saya diblokir katax ada transaksi tidak wajar pdhl baru sekali transfer ke no rek korbannya juga banyak, tolong lah gopay ditingkatkan lagi kualitasnya",1
Mau transaksi kenapa tulisan nya gada sinyal terus ya padahal lancar sinyal nya,1
"Mungkin kurang pilihan diskon,yg otomatis dan gk bisa dipilih, sisanya sangat bagus",3
"Payah transfer antar bank pending, pdahal uangnya segera harus dipakai. Dari call center juga tidak responsif. Untuk transfer harus tunggu 3 hari kerja bayangkan saja selama apa itu kalau uangnya harus segera dipakai",1
Berulang2 mau upgrade kok gak bisa2...,1
Parah. Saldo terpotong. Tp ga masuk ke rekening. Mana 800 ribu. mana pertanggungjawaban pihak gojek. uang segitu sangat berarti. Asal buat laporan langsung di tutup mulu.,1
"Drivernya terlalu lama, apa lg hujan .. Sdh ditunggu malah dibatalkan, gk rekomen",1
"Sudah bayar gopaylater, ada limit tidak bisa digunakan. Kalau begini retail tidak akan percaya lagi kepada Gojek maupun Tokopedia (GoTo). Gojek tidak selektif memilih mitra MAB untuk menu Gopaylater, sudah hubungi via Gmail kepada pihak MAB. Jawabannya mengambang, tidak memberikan solusi. Lebih baik kemarin tagihan saya, saya gagal bayarkan saja.",1
"KALAU APLIKASI GOJEK COSTUMER YG ULAS,,GOJEK CEPAT BALASNYA,,KALAU APLIKASI GO PARTNER YANG UNTUK DRIVER TIDAK ADA SATUPUN YANG DIBALAS,,ADA APA NIH,,MOHON PARA COSTUMER YANG ADA DI ULASAN INI TOLONG DI VIRALKAN,,BAHWA GOJEK SEMENA MENA KEPADA DRIVERNYA,,KALIAN DI KENAKAN ONGKOS BESAR,, TETAPI YANG MASUK KE KANTONG DRIVER CUMA 70 PERSEN,,TOLONG VIRALKAN",1
Kenapa layanan gocar di binjai masi tutup??? Gocar mana gocar di binjai,1
"Bodohlah saya baru isi gopay gak bisa buat order driver, ada masalah akun harus telepon, payah",1
Ribet cok salah trus bikin susah cek out tokped,1
katanya bukan layanan transportasi? kok itu tulisannya transportasi? mitra dicekek dengan merubah perjanjian kemitraan seenak jidat demi lolos dari peraturan tentang tarif dasar transportasi online. shame on you jek,1
"perubahan 3 skema tarif yg bersamaan (naiknya ongkir, jasa layanan, dan hilangnya fitur dobel voucher) ini seperti pukulan telak buat konsumen. Dulu gofood hadir yg merubah perilaku konsumen dgn kemudahan yang berbiaya ringan. Dan sekarang, kami membayar mahal utk sebuah kemudahan itu. Mungkin sebagian besar akan kembali ke pola lama demi harga yg masuk akal. Mengingat mayoritas sedang meratapi kemerosotan ekonomi. Mohon jadikan evaluasi.",2
Gojek makin kesini knapa makin susah dipake,1
Saya mau tutup akun kok gak bisa padahal gopay dan point sudah kosong serta pay leter telah lunas masih tidak bisa tutup akun,1
Saat Pesen Goofood Saldo Gopay masih banyak tapi saat mau menggunakan pembayaran dengan Gopay tidak bisa Terbaca 0 padahal Saldo masih bnyak heran sampe sampe tokoknya tutup !!!!,1
SAYA GAK PERNAH DAPET VOC DISKON KYK YG LAIN,1
Ga bisa digunain,1
Laporan ga pernah dibales! Pecat ae tuh customer service gojek,1
Anyink lah sdah tiga hari nih aplikasi tiap masuk smua menu malah froseclose terus!! Hp gw Android 12 masa iya sdh gak bisa di pakai aplikasi nya!! Mana saldo gopay baru ngisi... Taii lahhh,1
driver kalian banyak bermasalah,1
Berguna,3
"Fitur gojek mobil ini gimana si? Padahal sy sudah cancel pesanan saya tetep saja nyamperin, emg gada notifnya?.",2
Update nya terlalu lama,1
"Paylater nya error tuh.... Stuck setelah tanda tangan privy, tiap transaksi pasti ke perjanjian privy, walau udah tanda tangan. Bolak balik ke sana aja tiap mau transaksi, tak bisa transaksi. Silakan cek aplikasi kelen ini.",1
Saya pernah order gofood . . harga tertera 23.000 utk makanan . . ongkos nya 4000 karena ada promo . . total seharus nya 27.000 . . tapi pemotongan di gopay kok jadi 37.000,2
"Alamat bisa berubah, jadinya dipaksa bayar ongkos kirim 15.000",1
Kok akun saya ga ada gopaylater,1
Jek tolong tambah fitur Token PLN dong.. thank you? Gaes utk penggunaan gojek selalu hormati driver Indonesia..yg berusaha utk mencari nafkah keluarga.. hormati dng clik 🌟🌟🌟🌟.. supaya mereka bisa kasi makan keluarga nya and klo ada rejeki lebih kasi tips...klo mereka di kasi🌟🌟🌟 mereka sama saja puasa sekeluarga(anyep).klo g percaya silahkan tanyakan drivernya di pinggir jalan raya 👍..oke PT GOTOGEL,4
Aplikasi tolol daftar dengan akun yang gk pernah di daftar tapi di bilang sudah pernah goblokk,1
"Hanya mementingkan perusahaan sendiri, tidak memikirkan drivernya",1
!!! Layanan nya semakin buruk,1
Kok pesan saya dihapus?,1
Ongkos gocar terlalu mahal. Terkadang harga tiba tiba naik padahal cuaca cerah naik nya pun bisa 2x liapt.,1
"Baru di update tdak bsa cek riwayat,isi saldo g masuk..",1
Sialan. Saya tidak pernah menggunakan. Namun saya disebut penggunaan yang luar biasa. Hanya mau pesan makanan. Terlalu ribet. Masa saya harus menghubungi gojek dulu. Suee😡😡😡😡 hapus aplikasi ini.😡😡😡 orang udah lapar malah disuruh hubungi gojek. Sialan,1
"Kasih voucher promo tapi gk ada yg mau antar, gmn sih",1
saya makan pke gopay .. katanya ada cashback tapi ga masuk masuk .. ga ngerti cara tnaya ke gopaynya gmna .. tolong min,3
"Driver anda pemalas, tidak mau ambil orderan",1
Maaf sya kasih bintang 1 soal nya setiap kali sya mengunakan aplikasi ini pesan makanan dapat driver nya selalu jauh membuat driver nya terlalu lama menuju resto nya dan sya pun menunggu makanan nya terlalu lama sampai kelaparan menungu pesanan makanan sya baru datang tolong d perbaiki sistem nya agar bisa memuas kan castamer,1
"Tak bisa login, eror sudah bbrp hari tak tau knapa",1
